,name,mass,fall,year,reclat,reclong
1326,Acfer 211,1009.0,Found,01/01/1991,27.46472,3.7816699999999996
30108,Northwest Africa 6852,1009.0,Found,01/01/2011,0.0,0.0
6170,Dar al Gani 397,1008.0,Found,01/01/1998,27.81833,15.915329999999999
32074,Queen Alexandra Range 02100,1007.5,Found,01/01/2002,-84.0,168.0
16636,Jiddat al Harasis 102,1007.33,Found,01/01/1998,19.51185,56.98178000000001
30181,Northwest Africa 7009,1007.0,Found,01/01/2011,0.0,0.0
42371,Yamato 81016,1006.33,Found,01/01/1981,-71.5,35.66667
7367,Dhofar 1553,1006.0,Found,01/01/2009,18.85033,54.3845
5921,Dar al Gani 148,1006.0,Found,01/01/1996,27.04567,16.3795
36729,Salar de Imilac,1005.0,Found,01/01/2000,-24.203329999999998,-68.805
16815,Jiddat al Harasis 352,1005.0,Found,01/01/2003,19.360329999999998,55.6278
30500,Northwest Africa 7479,1004.18,Found,01/01/2012,0.0,0.0
35731,Ramlat as Sahmah 320,1002.3,Found,01/01/2009,20.8728,55.427730000000004
16023,Hammadah al Hamra 048,1002.0,Found,01/01/1994,28.49033,13.3055
36062,Rio Rancho,1001.0,Found,01/01/2011,35.3,-106.63333
6961,Dhofar 066,1001.0,Found,01/01/1999,19.18467,54.6725
16571,Jiddat al Harasis 013,1001.0,Found,01/01/1999,19.17117,56.15583
6142,Dar al Gani 369,1001.0,Found,01/01/1997,27.94867,15.901329999999998
34649,Queen Alexandra Range 99018,1000.2,Found,01/01/1999,-84.0,168.0
11717,Forrest 009,1000.0,Found,01/01/1979,-30.15,128.08333000000002
38076,Trifir,1000.0,Found,01/01/1956,20.05,-1.68333
29575,Northwest Africa 5844,1000.0,Found,,0.0,0.0
19727,Lavras do Sul,1000.0,Found,01/01/1985,-30.8,-53.9
5007,Aurora,1000.0,Found,01/01/1938,36.33333,-105.05
29186,Northwest Africa 513,1000.0,Found,01/01/1999,23.6,-5.0
1525,Adelie Land,1000.0,Found,01/01/1912,-67.18333,142.38333
38201,Ute Creek,1000.0,Found,01/01/1936,36.2,-103.9
30700,Northwest Africa 7724,1000.0,Found,01/01/2012,0.0,0.0
1558,Aguemour 017,1000.0,Found,01/01/2001,27.4,4.35
30008,Northwest Africa 6630,1000.0,Found,01/01/2011,0.0,0.0
7305,Dhofar 1496,1000.0,Found,01/01/2008,18.68712,54.42
